District,School_Number,SCHOOL_NAME,Grade,Female (w),Male (w),Female (b),Male (b),Female (h),Male (h),Female (a),Male (a),Female (pi),Male (pi),Female (na),Male (na),Female (2+),Male (2+),Female (tot),Male (tot),Total
CLAY,7006,CLAY VIRTUAL INSTRUCTION (COURSE OFFERINGS),12,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
COLLIER,51,EVERGLADES CITY SCHOOL,12,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
COLLIER,151,NAPLES HIGH SCHOOL,11,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
COLLIER,151,NAPLES HIGH SCHOOL,12,98,120,8,20,52,42,,,,,1,,3,4,162,186,348
COLLIER,261,LELY HIGH SCHOOL,10,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
COLLIER,261,LELY HIGH SCHOOL,11,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
COLLIER,261,LELY HIGH SCHOOL,12,59,47,41,37,53,62,,1,,1,1,1,4,4,158,153,311
COLLIER,271,IMMOKALEE HIGH SCHOOL,11,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
COLLIER,271,IMMOKALEE HIGH SCHOOL,12,1,2,22,28,93,94,,,,,4,2,1,1,121,127,248
COLLIER,282,LORENZO WALKER TECHNICAL HIGH SCHOOL,11,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
COLLIER,282,LORENZO WALKER TECHNICAL HIGH SCHOOL,12,10,12,12,5,31,43,,1,,,2,,1,,56,61,117
COLLIER,311,BARRON COLLIER HIGH SCHOOL,11,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
COLLIER,311,BARRON COLLIER HIGH SCHOOL,12,116,136,16,18,36,39,5,2,,1,1,5,7,3,181,204,385
COLLIER,392,GULF COAST HIGH SCHOOL,11,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
COLLIER,392,GULF COAST HIGH SCHOOL,12,169,162,5,10,35,34,7,2,,,,2,9,13,225,223,448
COLLIER,493,PALMETTO RIDGE HIGH SCHOOL,11,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
COLLIER,493,PALMETTO RIDGE HIGH SCHOOL,12,84,89,16,11,103,88,4,1,,,1,1,4,1,212,191,403
COLLIER,501,GOLDEN GATE HIGH SCHOOL,11,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
COLLIER,501,GOLDEN GATE HIGH SCHOOL,12,27,37,33,35,98,73,1,3,,,1,,3,7,163,155,318
COLLIER,7001,COLLIER VIRTUAL INSTRUCTION PROGRAM,11,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
COLLIER,7001,COLLIER VIRTUAL INSTRUCTION PROGRAM,12,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
