District,School_Number,SCHOOL_NAME,Grade,Female (w),Male (w),Female (b),Male (b),Female (h),Male (h),Female (a),Male (a),Female (pi),Male (pi),Female (na),Male (na),Female (2+),Male (2+),Female (tot),Male (tot),Total
UNION,2021,THE OUTPOST,12,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
UNION,7021,UNION JUVENILE RESIDENTIAL FACILITY-THREE SPRINGS,12,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
VOLUSIA,1453,DELAND HIGH SCHOOL,11,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
VOLUSIA,1453,DELAND HIGH SCHOOL,12,160,136,23,18,28,15,9,6,,,1,,5,3,226,178,404
VOLUSIA,1551,UNIVERSITY HIGH SCHOOL,12,169,179,31,25,76,62,4,3,,,1,2,9,9,290,280,570
VOLUSIA,3436,MAINLAND HIGH SCHOOL,11,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
VOLUSIA,3436,MAINLAND HIGH SCHOOL,12,87,75,71,58,12,7,2,1,1,,,,8,3,181,144,325
VOLUSIA,3839,NEW SMYRNA BEACH HIGH SCHOOL,11,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
VOLUSIA,3839,NEW SMYRNA BEACH HIGH SCHOOL,12,155,156,11,11,10,10,3,1,,,3,1,8,10,190,189,379
VOLUSIA,4436,SPRUCE CREEK HIGH SCHOOL,12,222,238,29,15,17,18,21,17,1,,1,,8,4,299,292,591
VOLUSIA,4941,ATLANTIC HIGH SCHOOL,12,66,69,21,12,5,8,1,3,,,,,8,6,101,98,199
VOLUSIA,5836,SEABREEZE HIGH SCHOOL,12,145,134,20,16,12,12,2,4,,,1,,,1,180,167,347
VOLUSIA,6633,T. DEWITT TAYLOR MIDDLE-HIGH SCHOOL,12,28,16,1,,30,35,1,,,,,,1,,61,51,112
VOLUSIA,6761,DELTONA HIGH SCHOOL,12,74,64,21,18,80,53,3,3,,,,1,5,6,183,145,328
VOLUSIA,6881,PINE RIDGE HIGH SCHOOL,12,89,82,19,16,43,45,1,1,1,,1,,6,2,160,146,306
VOLUSIA,7891,RICHARD MILBURN ACADEMY,12,12,4,12,8,4,1,,,,,,,1,,29,13,42
WAKULLA,21,SECOND CHANCE SCHOOL-SOPCHOPPY EDUCATION CENTER,12,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
WAKULLA,22,ALTERNATIVE HIGH SCHOOL PROGRAM,12,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
WAKULLA,71,WAKULLA HIGH SCHOOL,12,94,120,16,12,5,1,2,1,,,2,1,5,9,124,144,268
WALTON,101,PAXTON SCHOOL,12,16,21,1,1,,,,,,,,,,1,17,23,40
WALTON,141,FREEPORT SENIOR HIGH SCHOOL,12,36,33,,,2,2,,1,,,,,1,2,39,38,77
WALTON,153,SOUTH WALTON HIGH SCHOOL,12,55,46,2,,7,9,1,2,,1,,2,4,1,69,61,130
WALTON,271,WALTON HIGH SCHOOL,12,51,49,6,12,3,4,,1,,,,,,1,60,67,127
WALTON,1111,"WALTON ACADEMY, INC.",12,5,7,,,,1,,,,,,,,1,5,9,14
WALTON,2021,WALTON LEARNING CENTER,11,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
WALTON,7004,WALTON VIRTUAL FRANCHISE,12,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
WASHINGTON,21,CHIPLEY HIGH SCHOOL,12,42,29,15,6,1,1,,,,,,,1,2,59,38,97
WASHINGTON,51,VERNON HIGH SCHOOL,12,33,27,6,11,,,,,,,,,1,,40,38,78
WASHINGTON,152,WASHINGTON INSTITUTE FOR SPECIALIZED EDUCATION,12,3,5,4,3,,,,,,,,,,,7,8,15
DEAF/BLIND,13,DEAF HIGH SCHOOL (FSDB),12,10,5,1,1,1,1,,,,,,,,,12,7,19
DEAF/BLIND,16,BLIND HIGH SCHOOL (FSDB),12,2,7,,3,1,2,1,,,,,,,1,4,13,17
WASH SPECIAL,11,OKEECHOBEE YOUTH DEVELOPMENT CENTER,12,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
FL VIRTUAL,400,FLVS FULL-TIME 9-12,11,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
FL VIRTUAL,400,FLVS FULL-TIME 9-12,12,159,107,22,12,63,34,5,3,2,,1,,14,4,266,160,426
FAU LAB SCH,11,A.D. HENDERSON UNIVERSITY SCHOOL & FAU HIGH SCHOOL,12,16,16,6,1,10,15,1,5,,1,,,3,1,36,39,75
FSU LAB SCH,341,FLORIDA STATE UNIVERSITY SCHOOL,12,38,27,25,20,8,9,1,2,,,,,4,5,76,63,139
FAMU LAB SCH,351,FLORIDA A&M UNIVERSITY DEVELOPMENTAL RESEARCH SCHOOL,11,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
FAMU LAB SCH,351,FLORIDA A&M UNIVERSITY DEVELOPMENTAL RESEARCH SCHOOL,12,1,1,18,12,,,,,,,,,,,19,13,32
UF LAB SCH,391,P.K. YONGE DEVELOPMENTAL RESEARCH SCHOOL,12,31,25,11,13,10,12,4,,,,,,4,2,60,52,112
UF LAB SCH,391,P.K. YONGE DEVELOPMENTAL RESEARCH SCHOOL,,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
